,,COLUMN,Expected Index,Moran's Index,Variance,p-value,threshold,z-score
boston,2010_AVGHI,2010_AVGHI,-0.0002962085308056872,0.252138313933,1.15944951386e-05,0.0,0.0751406546215,74.1349205581
boston,2010_DKL(y,2010_DKL(y,-0.0002962085308056872,0.0946124466953,1.15944951386e-05,0.0,0.0751406546215,27.8727550685
boston,2010_TOTHH,2010_TOTHH,-0.0002962085308056872,0.0617175258202,1.15944951386e-05,0.0,0.0751406546215,18.2121812213
boston,area,area,-0.0002962085308056872,0.532683703722,1.15944951386e-05,0.0,0.0751406546215,156.525435064
boston,densitypop,densitypop,-0.0002962085308056872,0.41841913741,1.15944951386e-05,0.0,0.0751406546215,122.968239862
portland,2010_AVGHI,2010_AVGHI,-0.0007072135785007072,0.0308280517227,1.3461405885e-05,0.0,0.184853619046,8.59510683844
portland,2010_DKL(y,2010_DKL(y,-0.0007072135785007072,0.00627227890291,1.3461405885e-05,0.0571321595979,0.184853619046,1.90229836289
portland,2010_TOTHH,2010_TOTHH,-0.0007072135785007072,0.0245819027914,1.3461405885e-05,5.47495382364e-12,0.184853619046,6.89268521995
portland,area,area,-0.0007072135785007072,0.357107192536,1.3461405885e-05,0.0,0.184853619046,97.5242484727
portland,densitypop,densitypop,-0.0007072135785007072,0.148014985951,1.3461405885e-05,0.0,0.184853619046,40.5350385352
seattle,2010_AVGHI,2010_AVGHI,-0.0004050222762251924,0.102187465904,1.68803727313e-06,0.0,0.270912492021,78.963164917
seattle,2010_DKL(y,2010_DKL(y,-0.0004050222762251924,0.00779495835593,1.68803727313e-06,2.76623612905e-10,0.270912492021,6.3113433981
seattle,2010_TOTHH,2010_TOTHH,-0.0004050222762251924,0.00527217973914,1.68803727313e-06,1.24464870412e-05,0.270912492021,4.36961659626
seattle,area,area,-0.0004050222762251924,0.602795905055,1.68803727313e-06,0.0,0.270912492021,464.270388092
seattle,densitypop,densitypop,-0.0004050222762251924,0.0837879598305,1.68803727313e-06,0.0,0.270912492021,64.8014727866
san-francisco,2010_AVGHI,2010_AVGHI,-0.0003480682213713888,0.111167847145,1.84364938707e-06,0.0,0.175089802305,82.1292178572
san-francisco,2010_DKL(y,2010_DKL(y,-0.0003480682213713888,0.0318968746027,1.84364938707e-06,0.0,0.175089802305,23.7477486985
san-francisco,2010_TOTHH,2010_TOTHH,-0.0003480682213713888,0.0285951356308,1.84364938707e-06,0.0,0.175089802305,21.316084676
san-francisco,area,area,-0.0003480682213713888,0.135239196409,1.84364938707e-06,0.0,0.175089802305,99.8572800927
san-francisco,densitypop,densitypop,-0.0003480682213713888,0.227835011166,1.84364938707e-06,0.0,0.175089802305,168.052226238
los-angeles,2010_AVGHI,2010_AVGHI,-0.0001224589762429586,0.184398870158,6.0255303159e-07,0.0,0.129200563133,237.710812416
los-angeles,2010_DKL(y,2010_DKL(y,-0.0001224589762429586,0.041498248532,6.0255303159e-07,0.0,0.129200563133,53.6181494116
los-angeles,2010_TOTHH,2010_TOTHH,-0.0001224589762429586,0.0557730516353,6.0255303159e-07,0.0,0.129200563133,72.0077581287
los-angeles,area,area,-0.0001224589762429586,0.449964836651,6.0255303159e-07,0.0,0.129200563133,579.82791043
los-angeles,densitypop,densitypop,-0.0001224589762429586,0.162911031991,6.0255303159e-07,0.0,0.129200563133,210.028963972
phoenix,2010_AVGHI,2010_AVGHI,-0.0003756574004507889,0.0389843896746,2.41578578523e-06,0.0,0.310113764422,25.3236555952
phoenix,2010_DKL(y,2010_DKL(y,-0.0003756574004507889,0.00309998142259,2.41578578523e-06,0.0253404311561,0.310113764422,2.23617315193
phoenix,2010_TOTHH,2010_TOTHH,-0.0003756574004507889,0.0154482252015,2.41578578523e-06,0.0,0.310113764422,10.1808453741
phoenix,area,area,-0.0003756574004507889,0.291477917126,2.41578578523e-06,0.0,0.310113764422,187.77415056
phoenix,densitypop,densitypop,-0.0003756574004507889,0.0732439267678,2.41578578523e-06,0.0,0.310113764422,47.3657206503
denver,2010_AVGHI,2010_AVGHI,-0.0005627462014631402,0.0390327242921,6.20476705282e-06,0.0,0.278801459122,15.8958138103
denver,2010_DKL(y,2010_DKL(y,-0.0005627462014631402,0.00618840653998,6.20476705282e-06,0.00672251233336,0.278801459122,2.71028644553
denver,2010_TOTHH,2010_TOTHH,-0.0005627462014631402,0.00128796830756,6.20476705282e-06,0.457494238912,0.278801459122,0.742979257093
denver,area,area,-0.0005627462014631402,0.566457765858,6.20476705282e-06,0.0,0.278801459122,227.633423065
denver,densitypop,densitypop,-0.0005627462014631402,0.0662881651424,6.20476705282e-06,0.0,0.278801459122,26.8376565937
houston,2010_AVGHI,2010_AVGHI,-0.0003322259136212625,0.0501128692633,5.1168912952e-06,0.0,0.177047039575,22.3005641808
houston,2010_DKL(y,2010_DKL(y,-0.0003322259136212625,0.0546666394079,5.1168912952e-06,0.0,0.177047039575,24.3136765164
houston,2010_TOTHH,2010_TOTHH,-0.0003322259136212625,0.101824961679,5.1168912952e-06,0.0,0.177047039575,45.1612373898
houston,area,area,-0.0003322259136212625,0.337711034898,5.1168912952e-06,0.0,0.177047039575,149.440801077
houston,densitypop,densitypop,-0.0003322259136212625,0.160818618501,5.1168912952e-06,0.0,0.177047039575,71.2409152181
austin,2010_AVGHI,2010_AVGHI,-0.0010416666666666667,0.140583792987,3.96171250995e-05,0.0,0.132455388069,22.5008981574
austin,2010_DKL(y,2010_DKL(y,-0.0010416666666666667,0.0307381037038,3.96171250995e-05,4.44023199986e-07,0.132455388069,5.04904540693
austin,2010_TOTHH,2010_TOTHH,-0.0010416666666666667,0.0628126836885,3.96171250995e-05,0.0,0.132455388069,10.1449290104
austin,area,area,-0.0010416666666666667,0.36780988689,3.96171250995e-05,0.0,0.132455388069,58.6016897107
austin,densitypop,densitypop,-0.0010416666666666667,0.230066523886,3.96171250995e-05,0.0,0.132455388069,36.7175638594
minneapolis,2010_AVGHI,2010_AVGHI,-0.00043346337234503684,0.202636509845,2.13642254744e-05,0.0,0.111464847979,43.9341405594
minneapolis,2010_DKL(y,2010_DKL(y,-0.00043346337234503684,0.118486609985,2.13642254744e-05,0.0,0.111464847979,25.7283296758
minneapolis,2010_TOTHH,2010_TOTHH,-0.00043346337234503684,0.111665288279,2.13642254744e-05,0.0,0.111464847979,24.2525383421
minneapolis,area,area,-0.00043346337234503684,0.491254731633,2.13642254744e-05,0.0,0.111464847979,106.376624414
minneapolis,densitypop,densitypop,-0.00043346337234503684,0.266908031308,2.13642254744e-05,0.0,0.111464847979,57.8392689896
chicago,2010_AVGHI,2010_AVGHI,-0.00015262515262515263,0.253202319189,2.68877957294e-06,0.0,0.107746567689,154.508289316
chicago,2010_DKL(y,2010_DKL(y,-0.00015262515262515263,0.0994257374565,2.68877957294e-06,0.0,0.107746567689,60.7277765968
chicago,2010_TOTHH,2010_TOTHH,-0.00015262515262515263,0.115573500582,2.68877957294e-06,0.0,0.107746567689,70.5754756945
chicago,area,area,-0.00015262515262515263,0.357940786001,2.68877957294e-06,0.0,0.107746567689,218.382950909
chicago,densitypop,densitypop,-0.00015262515262515263,0.292299398302,2.68877957294e-06,0.0,0.107746567689,178.351608525
detroit,2010_AVGHI,2010_AVGHI,-0.00027412280701754384,0.351679755473,7.36266892537e-06,0.0,0.090984725234,129.708405054
detroit,2010_DKL(y,2010_DKL(y,-0.00027412280701754384,0.240722239297,7.36266892537e-06,0.0,0.090984725234,88.8163355525
detroit,2010_TOTHH,2010_TOTHH,-0.00027412280701754384,0.220422832826,7.36266892537e-06,0.0,0.090984725234,81.3352313527
detroit,area,area,-0.00027412280701754384,0.592829744204,7.36266892537e-06,0.0,0.090984725234,218.581357868
detroit,densitypop,densitypop,-0.00027412280701754384,0.375898516919,7.36266892537e-06,0.0,0.090984725234,138.633940794
orlando,2010_AVGHI,2010_AVGHI,-0.0012033694344163659,0.0393652716543,2.35165201009e-05,0.0,0.182068045082,8.36573170308
orlando,2010_DKL(y,2010_DKL(y,-0.0012033694344163659,0.0177824885918,2.35165201009e-05,9.03639053793e-05,0.182068045082,3.91510758404
orlando,2010_TOTHH,2010_TOTHH,-0.0012033694344163659,0.0808116493923,2.35165201009e-05,0.0,0.182068045082,16.9124630433
orlando,area,area,-0.0012033694344163659,0.584101123651,2.35165201009e-05,0.0,0.182068045082,120.696681534
orlando,densitypop,densitypop,-0.0012033694344163659,0.225825430019,2.35165201009e-05,0.0,0.182068045082,46.8160129138
new-orleans,2010_AVGHI,2010_AVGHI,-0.0010141987829614604,0.0254319162455,5.23048601706e-06,0.0,0.32916363862,11.5635414075
new-orleans,2010_DKL(y,2010_DKL(y,-0.0010141987829614604,0.069205637305,5.23048601706e-06,0.0,0.32916363862,30.7035638829
new-orleans,2010_TOTHH,2010_TOTHH,-0.0010141987829614604,0.160884241998,5.23048601706e-06,0.0,0.32916363862,70.789956172
new-orleans,area,area,-0.0010141987829614604,0.113210259012,5.23048601706e-06,0.0,0.32916363862,49.944547471
new-orleans,densitypop,densitypop,-0.0010141987829614604,0.128695855403,5.23048601706e-06,0.0,0.32916363862,56.7156113832
st-louis-mo,2010_AVGHI,2010_AVGHI,-0.000499001996007984,0.213988597325,1.47204287775e-05,0.0,0.16334274147,55.9038809152
st-louis-mo,2010_DKL(y,2010_DKL(y,-0.000499001996007984,0.118949729472,1.47204287775e-05,0.0,0.16334274147,31.1330243828
st-louis-mo,2010_TOTHH,2010_TOTHH,-0.000499001996007984,0.167280057599,1.47204287775e-05,0.0,0.16334274147,43.729803482
st-louis-mo,area,area,-0.000499001996007984,0.356838836445,1.47204287775e-05,0.0,0.16334274147,93.136256035
st-louis-mo,densitypop,densitypop,-0.000499001996007984,0.326409868861,1.47204287775e-05,0.0,0.16334274147,85.2052736119
atlanta,2010_AVGHI,2010_AVGHI,-0.000388651379712398,0.262588977621,1.88774829773e-05,0.0,0.106311637616,60.526667331
atlanta,2010_DKL(y,2010_DKL(y,-0.000388651379712398,0.125616516114,1.88774829773e-05,0.0,0.106311637616,29.0012229704
atlanta,2010_TOTHH,2010_TOTHH,-0.000388651379712398,0.119514243686,1.88774829773e-05,0.0,0.106311637616,27.5967300687
atlanta,area,area,-0.000388651379712398,0.462907759143,1.88774829773e-05,0.0,0.106311637616,106.631837172
atlanta,densitypop,densitypop,-0.000388651379712398,0.294502990067,1.88774829773e-05,0.0,0.106311637616,67.8719644267
philadelphia,2010_AVGHI,2010_AVGHI,-0.00023424689622862497,0.154321905449,1.3818645093e-06,0.0,0.167497178101,131.478144387
philadelphia,2010_DKL(y,2010_DKL(y,-0.00023424689622862497,0.130055047215,1.3818645093e-06,0.0,0.167497178101,110.834763698
philadelphia,2010_TOTHH,2010_TOTHH,-0.00023424689622862497,0.10367402196,1.3818645093e-06,0.0,0.167497178101,88.3928990749
philadelphia,area,area,-0.00023424689622862497,0.398857154395,1.3818645093e-06,0.0,0.167497178101,339.499891053
philadelphia,densitypop,densitypop,-0.00023424689622862497,0.292290162068,1.3818645093e-06,0.0,0.167497178101,248.845263647
